,entry_time,exit_time,type,entry_price,exit_price,pnl,reason
0,2025-07-26 22:30:00+08:00,2025-07-26 23:15:00+08:00,long,187.21,186.27395,-20.0,sl
1,2025-07-27 01:45:00+08:00,2025-07-27 02:15:00+08:00,long,185.52,185.649864,2.799999999999914,sl
2,2025-07-27 05:15:00+08:00,2025-07-27 05:35:00+08:00,long,185.53,185.9586666666667,9.241991411991293,tp
3,2025-07-27 11:40:00+08:00,2025-07-27 11:50:00+08:00,short,187.18,187.048974,2.800000000000498,sl
4,2025-07-27 13:30:00+08:00,2025-07-27 14:00:00+08:00,short,187.92,187.78845599999997,2.80000000000046,sl
5,2025-07-27 16:40:00+08:00,2025-07-27 16:50:00+08:00,long,186.55,186.680585,2.7999999999999265,sl
6,2025-07-27 20:45:00+08:00,2025-07-27 21:40:00+08:00,long,185.77,185.900039,2.7999999999995837,sl
7,2025-07-27 23:10:00+08:00,2025-07-27 23:45:00+08:00,long,185.22,185.96099999999998,16.002591512795437,tp
8,2025-07-28 04:55:00+08:00,2025-07-28 05:05:00+08:00,long,186.9,187.03082999999998,2.799999999999416,sl
9,2025-07-28 14:00:00+08:00,2025-07-28 14:15:00+08:00,short,194.3,194.16399,2.8000000000000003,sl
10,2025-07-28 15:20:00+08:00,2025-07-28 15:30:00+08:00,long,192.11,192.244477,2.7999999999994554,sl
11,2025-07-28 20:45:00+08:00,2025-07-28 21:00:00+08:00,short,192.96,192.824928,2.800000000000259,sl
12,2025-07-28 21:35:00+08:00,2025-07-28 21:55:00+08:00,long,190.18,190.31312599999998,2.7999999999995215,sl
13,2025-07-29 02:10:00+08:00,2025-07-29 02:20:00+08:00,long,185.37,185.49975899999998,2.799999999999534,sl
14,2025-07-29 03:50:00+08:00,2025-07-29 04:00:00+08:00,long,183.87,185.28033333333332,30.68109715197258,tp
15,2025-07-29 08:45:00+08:00,2025-07-29 09:10:00+08:00,long,182.15,183.24533333333332,24.053435812974058,tp
16,2025-07-29 10:20:00+08:00,2025-07-29 10:40:00+08:00,long,181.27,181.396889,2.799999999999486,sl
17,2025-07-29 22:55:00+08:00,2025-07-29 23:05:00+08:00,long,180.06,180.186042,2.7999999999996845,sl
18,2025-07-30 00:20:00+08:00,2025-07-30 00:40:00+08:00,long,179.5,178.6025,-20.0,sl
19,2025-07-30 00:40:00+08:00,2025-07-30 01:05:00+08:00,long,178.85,180.29866666666666,32.399589972975534,tp
20,2025-07-30 04:40:00+08:00,2025-07-30 04:55:00+08:00,long,180.05,180.17603499999998,2.7999999999994065,sl
21,2025-07-30 04:55:00+08:00,2025-07-30 05:05:00+08:00,long,179.69,179.81578299999998,2.7999999999996583,sl
22,2025-07-30 05:05:00+08:00,2025-07-30 05:20:00+08:00,long,179.45,179.57561499999997,2.7999999999995566,sl
23,2025-07-30 08:25:00+08:00,2025-07-30 08:50:00+08:00,long,180.4,179.49800000000002,-20.0,sl
24,2025-07-30 10:15:00+08:00,2025-07-30 10:50:00+08:00,short,182.16,182.032488,2.7999999999999248,sl
25,2025-07-30 13:00:00+08:00,2025-07-30 13:10:00+08:00,long,180.24,180.366168,2.7999999999995584,sl
